model,accuracy,precision,recall,f1_macro
VADER,0.8531253207430977,0.7427799964269022,0.6993882492638598,0.717095737386606
DistilBERT,0.9368777583906395,0.8834705169048543,0.8997822999112541,0.8913226644655314
