genre,vader_div_rate,distilbert_div_rate,distilbert_div_confident,neutral_rate,n_reviews
Action,0.18696747869914795,0.01596063842553702,0.014280571222848914,0.0,8333
Adventure,0.14736589463578542,0.0109204368174727,0.009240369614784591,0.0,8333
Indie,0.1906876275051002,0.013680547221888875,0.012600504020160807,0.0,8333
Massively Multiplayer,0.14568582743309733,0.06396255850234009,0.05796231849273971,0.0,8333
RPG,0.203288131525261,0.0202808112324493,0.0187207488299532,0.0,8333
Simulation,0.19128765150606025,0.016200648025921038,0.01500060002400096,0.0,8333
