bertopic_topic,distilbert_divergence_confident
8,0.12292817679558012
57,0.12138728323699421
13,0.06804123711340206
89,0.06451612903225806
32,0.0547945205479452
28,0.05214723926380368
56,0.05172413793103448
63,0.05128205128205128
71,0.04929577464788732
40,0.049107142857142856
106,0.04838709677419355
33,0.045454545454545456
22,0.04189944134078212
26,0.03768115942028986
51,0.03723404255319149
37,0.03501945525291829
67,0.03355704697986577
90,0.03260869565217391
25,0.031791907514450865
23,0.03081232492997199
74,0.030303030303030304
83,0.02912621359223301
11,0.02768166089965398
43,0.027522935779816515
80,0.02702702702702703
16,0.02689486552567237
102,0.02631578947368421
15,0.024390243902439025
6,0.02392947103274559
-1,0.02352752023152366
44,0.02304147465437788
75,0.022900763358778626
72,0.021897810218978103
49,0.020618556701030927
0,0.020262869660460023
65,0.02
85,0.02
64,0.0196078431372549
113,0.018867924528301886
61,0.018867924528301886
30,0.018691588785046728
79,0.017857142857142856
1,0.017843866171003718
109,0.017543859649122806
54,0.017241379310344827
12,0.016728624535315983
108,0.016666666666666666
3,0.016638935108153077
19,0.015625
104,0.014925373134328358
24,0.014245014245014245
21,0.013812154696132596
66,0.013422818791946308
103,0.013333333333333334
39,0.013215859030837005
100,0.013157894736842105
101,0.013157894736842105
62,0.012658227848101266
59,0.012422360248447204
27,0.011869436201780416
96,0.011764705882352941
95,0.011764705882352941
9,0.011627906976744186
34,0.010752688172043012
50,0.010416666666666666
10,0.010221465076660987
31,0.01020408163265306
86,0.010101010101010102
7,0.010101010101010102
17,0.009925558312655087
45,0.009345794392523364
82,0.009259259259259259
81,0.009009009009009009
78,0.008849557522123894
14,0.008350730688935281
77,0.008064516129032258
38,0.00796812749003984
76,0.007936507936507936
20,0.007894736842105263
18,0.007594936708860759
35,0.007380073800738007
73,0.0072992700729927005
60,0.00625
4,0.005988023952095809
58,0.005780346820809248
55,0.005747126436781609
52,0.0055248618784530384
48,0.005128205128205128
47,0.00510204081632653
2,0.004777070063694267
42,0.004545454545454545
41,0.004524886877828055
36,0.003816793893129771
46,0.0
5,0.0
29,0.0
68,0.0
70,0.0
69,0.0
53,0.0
98,0.0
97,0.0
93,0.0
94,0.0
92,0.0
91,0.0
88,0.0
87,0.0
84,0.0
99,0.0
105,0.0
107,0.0
110,0.0
111,0.0
112,0.0
114,0.0
